Timecode List:,00:00:10.533,00:00:22.600,00:00:33.333,00:00:45.433,00:00:57.167,00:01:15.000,00:01:27.800,00:01:40.433,00:01:58.433,00:02:10.167,00:02:23.067,00:02:36.600,00:03:00.800,00:03:15.867,00:03:26.933,00:03:42.833,00:03:57.667,00:04:09.367,00:04:20.700,00:04:31.000,00:04:43.967,00:04:55.233,00:05:09.967,00:05:31.267,00:05:47.133,00:05:58.033,00:06:21.033,00:06:37.033,00:06:49.700,00:07:01.267,00:07:13.133,00:07:28.967,00:07:42.300,00:07:56.400,00:08:06.567,00:08:17.967,00:08:29.767,00:08:42.133,00:08:52.100,00:09:05.867,00:09:23.467
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,316,00:00:10.533,10.533,316,00:00:10.533,10.533
2,317,00:00:10.533,10.533,678,00:00:22.600,22.600,362,00:00:12.067,12.067
3,679,00:00:22.600,22.600,1000,00:00:33.333,33.333,322,00:00:10.733,10.733
4,1001,00:00:33.333,33.333,1363,00:00:45.433,45.433,363,00:00:12.100,12.100
5,1364,00:00:45.433,45.433,1715,00:00:57.167,57.167,352,00:00:11.733,11.733
6,1716,00:00:57.167,57.167,2250,00:01:15.000,75.000,535,00:00:17.833,17.833
7,2251,00:01:15.000,75.000,2634,00:01:27.800,87.800,384,00:00:12.800,12.800
8,2635,00:01:27.800,87.800,3013,00:01:40.433,100.433,379,00:00:12.633,12.633
9,3014,00:01:40.433,100.433,3553,00:01:58.433,118.433,540,00:00:18.000,18.000
10,3554,00:01:58.433,118.433,3905,00:02:10.167,130.167,352,00:00:11.733,11.733
11,3906,00:02:10.167,130.167,4292,00:02:23.067,143.067,387,00:00:12.900,12.900
12,4293,00:02:23.067,143.067,4698,00:02:36.600,156.600,406,00:00:13.533,13.533
13,4699,00:02:36.600,156.600,5424,00:03:00.800,180.800,726,00:00:24.200,24.200
14,5425,00:03:00.800,180.800,5876,00:03:15.867,195.867,452,00:00:15.067,15.067
15,5877,00:03:15.867,195.867,6208,00:03:26.933,206.933,332,00:00:11.067,11.067
16,6209,00:03:26.933,206.933,6685,00:03:42.833,222.833,477,00:00:15.900,15.900
17,6686,00:03:42.833,222.833,7130,00:03:57.667,237.667,445,00:00:14.833,14.833
18,7131,00:03:57.667,237.667,7481,00:04:09.367,249.367,351,00:00:11.700,11.700
19,7482,00:04:09.367,249.367,7821,00:04:20.700,260.700,340,00:00:11.333,11.333
20,7822,00:04:20.700,260.700,8130,00:04:31.000,271.000,309,00:00:10.300,10.300
21,8131,00:04:31.000,271.000,8519,00:04:43.967,283.967,389,00:00:12.967,12.967
22,8520,00:04:43.967,283.967,8857,00:04:55.233,295.233,338,00:00:11.267,11.267
23,8858,00:04:55.233,295.233,9299,00:05:09.967,309.967,442,00:00:14.733,14.733
24,9300,00:05:09.967,309.967,9938,00:05:31.267,331.267,639,00:00:21.300,21.300
25,9939,00:05:31.267,331.267,10414,00:05:47.133,347.133,476,00:00:15.867,15.867
26,10415,00:05:47.133,347.133,10741,00:05:58.033,358.033,327,00:00:10.900,10.900
27,10742,00:05:58.033,358.033,11431,00:06:21.033,381.033,690,00:00:23.000,23.000
28,11432,00:06:21.033,381.033,11911,00:06:37.033,397.033,480,00:00:16.000,16.000
29,11912,00:06:37.033,397.033,12291,00:06:49.700,409.700,380,00:00:12.667,12.667
30,12292,00:06:49.700,409.700,12638,00:07:01.267,421.267,347,00:00:11.567,11.567
31,12639,00:07:01.267,421.267,12994,00:07:13.133,433.133,356,00:00:11.867,11.867
32,12995,00:07:13.133,433.133,13469,00:07:28.967,448.967,475,00:00:15.833,15.833
33,13470,00:07:28.967,448.967,13869,00:07:42.300,462.300,400,00:00:13.333,13.333
34,13870,00:07:42.300,462.300,14292,00:07:56.400,476.400,423,00:00:14.100,14.100
35,14293,00:07:56.400,476.400,14597,00:08:06.567,486.567,305,00:00:10.167,10.167
36,14598,00:08:06.567,486.567,14939,00:08:17.967,497.967,342,00:00:11.400,11.400
37,14940,00:08:17.967,497.967,15293,00:08:29.767,509.767,354,00:00:11.800,11.800
38,15294,00:08:29.767,509.767,15664,00:08:42.133,522.133,371,00:00:12.367,12.367
39,15665,00:08:42.133,522.133,15963,00:08:52.100,532.100,299,00:00:09.967,9.967
40,15964,00:08:52.100,532.100,16376,00:09:05.867,545.867,413,00:00:13.767,13.767
41,16377,00:09:05.867,545.867,16904,00:09:23.467,563.467,528,00:00:17.600,17.600
42,16905,00:09:23.467,563.467,17410,00:09:40.333,580.333,506,00:00:16.867,16.867
