Timecode List:,00:00:25.192,00:00:39.840,00:00:52.119,00:01:03.931,00:01:14.575,00:01:29.623,00:01:46.606,00:02:03.557,00:02:22.142,00:02:51.171,00:03:01.882,00:03:14.661,00:03:25.439,00:03:35.415,00:03:57.604,00:04:32.772,00:04:47.420,00:04:58.698,00:05:30.797,00:05:45.145,00:05:56.523,00:06:08.101,00:06:43.870,00:07:00.420,00:07:17.470,00:07:31.584,00:07:47.334,00:08:03.616,00:08:14.327,00:08:27.307
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,755,00:00:25.192,25.192,755,00:00:25.192,25.192
2,756,00:00:25.192,25.192,1194,00:00:39.840,39.840,439,00:00:14.648,14.648
3,1195,00:00:39.840,39.840,1562,00:00:52.119,52.119,368,00:00:12.279,12.279
4,1563,00:00:52.119,52.119,1916,00:01:03.931,63.931,354,00:00:11.812,11.812
5,1917,00:01:03.931,63.931,2235,00:01:14.575,74.575,319,00:00:10.644,10.644
6,2236,00:01:14.575,74.575,2686,00:01:29.623,89.623,451,00:00:15.048,15.048
7,2687,00:01:29.623,89.623,3195,00:01:46.606,106.606,509,00:00:16.984,16.984
8,3196,00:01:46.606,106.606,3703,00:02:03.557,123.557,508,00:00:16.950,16.950
9,3704,00:02:03.557,123.557,4260,00:02:22.142,142.142,557,00:00:18.585,18.585
10,4261,00:02:22.142,142.142,5130,00:02:51.171,171.171,870,00:00:29.029,29.029
11,5131,00:02:51.171,171.171,5451,00:03:01.882,181.882,321,00:00:10.711,10.711
12,5452,00:03:01.882,181.882,5834,00:03:14.661,194.661,383,00:00:12.779,12.779
13,5835,00:03:14.661,194.661,6157,00:03:25.439,205.439,323,00:00:10.777,10.777
14,6158,00:03:25.439,205.439,6456,00:03:35.415,215.415,299,00:00:09.977,9.977
15,6457,00:03:35.415,215.415,7121,00:03:57.604,237.604,665,00:00:22.189,22.189
16,7122,00:03:57.604,237.604,8175,00:04:32.772,272.772,1054,00:00:35.168,35.168
17,8176,00:04:32.772,272.772,8614,00:04:47.420,287.420,439,00:00:14.648,14.648
18,8615,00:04:47.420,287.420,8952,00:04:58.698,298.698,338,00:00:11.278,11.278
19,8953,00:04:58.698,298.698,9914,00:05:30.797,330.797,962,00:00:32.099,32.099
20,9915,00:05:30.797,330.797,10344,00:05:45.145,345.145,430,00:00:14.348,14.348
21,10345,00:05:45.145,345.145,10685,00:05:56.523,356.523,341,00:00:11.378,11.378
22,10686,00:05:56.523,356.523,11032,00:06:08.101,368.101,347,00:00:11.578,11.578
23,11033,00:06:08.101,368.101,12104,00:06:43.870,403.870,1072,00:00:35.769,35.769
24,12105,00:06:43.870,403.870,12600,00:07:00.420,420.420,496,00:00:16.550,16.550
25,12601,00:07:00.420,420.420,13111,00:07:17.470,437.470,511,00:00:17.050,17.050
26,13112,00:07:17.470,437.470,13534,00:07:31.584,451.584,423,00:00:14.114,14.114
27,13535,00:07:31.584,451.584,14006,00:07:47.334,467.334,472,00:00:15.749,15.749
28,14007,00:07:47.334,467.334,14494,00:08:03.616,483.616,488,00:00:16.283,16.283
29,14495,00:08:03.616,483.616,14815,00:08:14.327,494.327,321,00:00:10.711,10.711
30,14816,00:08:14.327,494.327,15204,00:08:27.307,507.307,389,00:00:12.980,12.980
31,15205,00:08:27.307,507.307,15258,00:08:29.109,509.109,54,00:00:01.802,1.802
