Timecode List:,00:00:13.313,00:00:31.265,00:00:51.418,00:01:04.564,00:01:20.614,00:02:05.058,00:02:24.678,00:02:41.294,00:02:59.613,00:03:11.825,00:04:16.656,00:04:43.283,00:04:55.662,00:05:07.407,00:05:33.667,00:05:44.311,00:05:57.090,00:07:32.919,00:08:32.746,00:08:43.356,00:09:00.607,00:09:14.087,00:09:39.746
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,399,00:00:13.313,13.313,399,00:00:13.313,13.313
2,400,00:00:13.313,13.313,937,00:00:31.265,31.265,538,00:00:17.951,17.951
3,938,00:00:31.265,31.265,1541,00:00:51.418,51.418,604,00:00:20.153,20.153
4,1542,00:00:51.418,51.418,1935,00:01:04.564,64.564,394,00:00:13.146,13.146
5,1936,00:01:04.564,64.564,2416,00:01:20.614,80.614,481,00:00:16.049,16.049
6,2417,00:01:20.614,80.614,3748,00:02:05.058,125.058,1332,00:00:44.444,44.444
7,3749,00:02:05.058,125.058,4336,00:02:24.678,144.678,588,00:00:19.620,19.620
8,4337,00:02:24.678,144.678,4834,00:02:41.294,161.294,498,00:00:16.617,16.617
9,4835,00:02:41.294,161.294,5383,00:02:59.613,179.613,549,00:00:18.318,18.318
10,5384,00:02:59.613,179.613,5749,00:03:11.825,191.825,366,00:00:12.212,12.212
11,5750,00:03:11.825,191.825,7692,00:04:16.656,256.656,1943,00:01:04.831,64.831
12,7693,00:04:16.656,256.656,8490,00:04:43.283,283.283,798,00:00:26.627,26.627
13,8491,00:04:43.283,283.283,8861,00:04:55.662,295.662,371,00:00:12.379,12.379
14,8862,00:04:55.662,295.662,9213,00:05:07.407,307.407,352,00:00:11.745,11.745
15,9214,00:05:07.407,307.407,10000,00:05:33.667,333.667,787,00:00:26.260,26.260
16,10001,00:05:33.667,333.667,10319,00:05:44.311,344.311,319,00:00:10.644,10.644
17,10320,00:05:44.311,344.311,10702,00:05:57.090,357.090,383,00:00:12.779,12.779
18,10703,00:05:57.090,357.090,13574,00:07:32.919,452.919,2872,00:01:35.829,95.829
19,13575,00:07:32.919,452.919,15367,00:08:32.746,512.746,1793,00:00:59.826,59.826
20,15368,00:08:32.746,512.746,15685,00:08:43.356,523.356,318,00:00:10.611,10.611
21,15686,00:08:43.356,523.356,16202,00:09:00.607,540.607,517,00:00:17.251,17.251
22,16203,00:09:00.607,540.607,16606,00:09:14.087,554.087,404,00:00:13.480,13.480
23,16607,00:09:14.087,554.087,17375,00:09:39.746,579.746,769,00:00:25.659,25.659
24,17376,00:09:39.746,579.746,17877,00:09:56.496,596.496,502,00:00:16.750,16.750
