Timecode List:,00:00:12.733,00:00:27.033,00:00:38.567,00:00:48.667,00:00:59.067,00:01:09.067,00:01:20.133,00:01:30.467,00:01:47.567,00:01:57.833,00:02:09.433,00:02:19.733,00:02:31.033,00:03:10.800,00:03:22.133,00:03:32.933,00:03:46.367,00:03:59.633,00:04:10.733,00:04:23.467,00:04:37.033,00:04:59.067,00:05:12.167,00:05:24.233,00:05:37.733,00:05:48.867,00:05:59.567,00:06:10.067,00:06:20.933,00:06:32.067,00:06:42.733
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,382,00:00:12.733,12.733,382,00:00:12.733,12.733
2,383,00:00:12.733,12.733,811,00:00:27.033,27.033,429,00:00:14.300,14.300
3,812,00:00:27.033,27.033,1157,00:00:38.567,38.567,346,00:00:11.533,11.533
4,1158,00:00:38.567,38.567,1460,00:00:48.667,48.667,303,00:00:10.100,10.100
5,1461,00:00:48.667,48.667,1772,00:00:59.067,59.067,312,00:00:10.400,10.400
6,1773,00:00:59.067,59.067,2072,00:01:09.067,69.067,300,00:00:10.000,10.000
7,2073,00:01:09.067,69.067,2404,00:01:20.133,80.133,332,00:00:11.067,11.067
8,2405,00:01:20.133,80.133,2714,00:01:30.467,90.467,310,00:00:10.333,10.333
9,2715,00:01:30.467,90.467,3227,00:01:47.567,107.567,513,00:00:17.100,17.100
10,3228,00:01:47.567,107.567,3535,00:01:57.833,117.833,308,00:00:10.267,10.267
11,3536,00:01:57.833,117.833,3883,00:02:09.433,129.433,348,00:00:11.600,11.600
12,3884,00:02:09.433,129.433,4192,00:02:19.733,139.733,309,00:00:10.300,10.300
13,4193,00:02:19.733,139.733,4531,00:02:31.033,151.033,339,00:00:11.300,11.300
14,4532,00:02:31.033,151.033,5724,00:03:10.800,190.800,1193,00:00:39.767,39.767
15,5725,00:03:10.800,190.800,6064,00:03:22.133,202.133,340,00:00:11.333,11.333
16,6065,00:03:22.133,202.133,6388,00:03:32.933,212.933,324,00:00:10.800,10.800
17,6389,00:03:32.933,212.933,6791,00:03:46.367,226.367,403,00:00:13.433,13.433
18,6792,00:03:46.367,226.367,7189,00:03:59.633,239.633,398,00:00:13.267,13.267
19,7190,00:03:59.633,239.633,7522,00:04:10.733,250.733,333,00:00:11.100,11.100
20,7523,00:04:10.733,250.733,7904,00:04:23.467,263.467,382,00:00:12.733,12.733
21,7905,00:04:23.467,263.467,8311,00:04:37.033,277.033,407,00:00:13.567,13.567
22,8312,00:04:37.033,277.033,8972,00:04:59.067,299.067,661,00:00:22.033,22.033
23,8973,00:04:59.067,299.067,9365,00:05:12.167,312.167,393,00:00:13.100,13.100
24,9366,00:05:12.167,312.167,9727,00:05:24.233,324.233,362,00:00:12.067,12.067
25,9728,00:05:24.233,324.233,10132,00:05:37.733,337.733,405,00:00:13.500,13.500
26,10133,00:05:37.733,337.733,10466,00:05:48.867,348.867,334,00:00:11.133,11.133
27,10467,00:05:48.867,348.867,10787,00:05:59.567,359.567,321,00:00:10.700,10.700
28,10788,00:05:59.567,359.567,11102,00:06:10.067,370.067,315,00:00:10.500,10.500
29,11103,00:06:10.067,370.067,11428,00:06:20.933,380.933,326,00:00:10.867,10.867
30,11429,00:06:20.933,380.933,11762,00:06:32.067,392.067,334,00:00:11.133,11.133
31,11763,00:06:32.067,392.067,12082,00:06:42.733,402.733,320,00:00:10.667,10.667
32,12083,00:06:42.733,402.733,12308,00:06:50.267,410.267,226,00:00:07.533,7.533
