(0:06) 今回は、富士山での研究を行います。 
(0:09) 富士山の研究が終わってから、 
(0:10) 富士山の大きな研究所に到着します。 
(0:14) 朝の研究所に到着します。 富士山の大きな研究所の研究所は、 
(0:29) 富士山の研究所を参考にして、 
(0:31) 研究者の課題を一つ一つ解決して、 
(0:39) サイドブレーキをニュートラルにして、マストを垂直に立てます。 
(0:46) そうすると爪のついでになります。 
(0:53) 爪のついでを確認しましたら、 
(1:03) 爪を刺しに行きます。前押し、前押し。 
(1:07) はい、行きますよ。爪を刺します。 
(1:14) マストが台に当たらないくらいまで接近して、白い点まで刺します。 
(1:28) サイドブレーキをニュートラルにします。 
(1:30) はい、ここから2液やります。 
(1:32) まずリフトレバーで上げます。 
(1:35) はい、このくらいちょっと上げましたら、 
(1:42) 木の水平を確認します。 
(1:46) 木を水平にします。水平になりましたら、よし。 
(1:52) よしと確認します。 
(1:54) それから、10センチの高さまで上げます。 
(2:03) マストします。前押し、前押し、前押し。 
(2:08) はい、下がりますよ。 
(2:10) 台の面を持つように下がります。 
(2:20) またサイドブレーキをニュートラルにします。 
(2:25) 約5センチくらいまで下げましたら、 
(2:29) 木の水平をチェックして、よし。 
(2:32) よし。はい、下ろします。 
(2:41) 爪の先端が離れましたら、前押し、前押しで、 
(2:46) 今度は木の刺し目を深く刺します。 
(2:51) 両方付くように。ちょっと押しても構わないですよ。 
(2:59) サイドブレーキをニュートラルにします。 
(3:03) はい、また持ち上げます。 
(3:06) ちょっと上げまして、木の水平を確認します。 
(3:10) 確認。よし。よし。 
(3:12) はい、10センチくらいまで上げまして、 
(3:17) バックします。前押し、前押し、前押し。 
(3:22) はい、じゃあバックします。 
(3:25) パレットの先端が台から離れましたら止まります。 
(3:30) はい、止まります。 
(3:35) だいたいこれが台から50センチくらいのところで止まります。 
(3:41) はい、ここではチルトレバーは絶対使わないでください。 
(3:45) リフトレバーで下ろします。 
(3:47) はい、ずっと下ろして、 
(3:50) パレット、荷物の下面が通路から10センチくらいまで上げます。 
(3:57) 下ろします。 
(4:02) 下ろしましたら、 
(4:05) はい、目一杯起こします。 
(4:08) はい、これが走行姿勢です。 
(4:09) はい、前押し、後押し、前押し、後押し。 
(4:14) 下ろしていきます。 
(4:24) だいたい自分の体を真ん中あたりにあけて、 
(4:29) パレットの先端が20センチから30センチくらい台から近づけます。 (4:36) はい、そしたら止まります。 
(4:42) そしたらですね、荷物をまず水平にします。 
(4:47) 前下がりにならないように。 
(4:49) そしてリフトレバーで上げます。 
(4:55) だいたい台から10センチくらいの高さに上げます。 
(5:05) はい、前押し、前押しで前進します。 
(5:10) 白い白線がありますので、枠がありますのでそこに入れるように入っていきます。 
(5:21) 手前で行くと止まります。 
(5:23) はい、またサイドブレーキに戻らないように。 
(5:27) タンの半分高く5センチくらいまで下げます。 
(5:32) はい、そしたら荷の水平を確認します。 
(5:41) 荷の水平を確認しましたら、よし、よしとやります。 
(5:47) そしたら今度は着床します。 
(5:51) 床におろします。 
(5:52) 爪の先端が離れたのを確認しましたら、 
(5:56) はい、前押し、前押し、前押し、少しバックします。 
(6:02) 白線が出ない程度、ほんの少しですね。 
(6:10) このくらい、ちょっとバックします。 
(6:14) はい、そしたらまた持ち上げます。 
(6:17) はい、荷の水平チェック。 
(6:20) よし、はい、10センチの高さくらいまで上げます。 
(6:25) はい、そしたら前押し、前押しで白い白線に入るように入れます。 
(6:31) 転進します。 
(6:32) その時ですね、パレットとか荷物が曲がってないかどうかを確認します。
(6:38) 白線とパレットを平行にします。 
(6:42) こんな感じですね、平行になりましたら、 
(6:45) 手前の白線を骨量に前に転進します。 
(6:49) あまり前に行きますとマストが当たりますので、この辺でよろしいです。 
(6:54) はい、サイドブレーキ、イントラル。 
(6:56) はい、5センチくらい下げてください。 
(7:00) はい、荷の水平を確認します。 
(7:03) よし、よし。 
(7:05) そしたらですね、ここで最後ですので荷物をちょっと前下がりします。 
(7:10) そうすると白線を踏まないで下ろします。 
(7:14) はい、下げます。 
(7:17) しっかり下ろします。 
(7:19) 爪の先端が離れたのを確認しますから、 
(7:22) はい、よしよし、前押し、よしよし。 
(7:25) 爪を抜きます。 
(7:29) 爪の先端が台から離れましたら止まります。 
(7:34) そしたらサイドブレーキ、ニュートラル。 
(7:36) はい、爪を下ろします。 
(7:39) はい、走行指定を進みまして、 
(7:42) はい、よしよし、前押し、後ろ押しで戻ります。 
(8:00) 駐車スペースに入りましたら爪を、 
(8:04) 先端を確実につけて、 
(8:07) チェーンを少しはがませて、 
(8:10) エンジンを止めて、 
(8:12) シートベルトを外しまして、 
(8:15) 前押し、後ろ押して、 
(8:18) 後ろ向きで降ります。 
(8:21) 以上です。
